TIME,RNET,G0,Gstor,H,LE,H_spec_corr,LE_spec_corr,HA_T,HA_Q,VA_T,VFD_T
2022-06-20 00:00,-53.3997394422231,-20.2343143822645,-8.48682620845212,-5.79737554386654,-3.7434148505842,-5.79737554386654,-3.7434148505842,-16.4446316702749,8.67232921795311,1.13104284669005,14.8286281617402
2022-06-20 00:30,-52.6469666957236,-21.2100751030328,-6.904409059829,-6.46087557283997,-3.11625435314134,-6.46087557283997,-3.11625435314134,-13.5272723529113,9.31205313946129,0.145059829755769,-9.76435626742885
2022-06-20 01:00,-56.6592881856482,-21.7589879347701,-6.03521693969608,7.49267300989686,-0.50907486267433,7.49267300989686,-0.50907486267433,5.2189769664976,17.2674523949005,-0.654359430353517,31.232243517492
2022-06-20 01:30,-63.7088514453544,-20.555722823991,-4.20087060541312,-11.1666192058771,-3.54296605861647,-11.1666192058771,-3.54296605861647,-5.25050327467751,12.2680732166625,5.4676133229102,12.2417124453408
2022-06-20 02:00,-55.004081460433,-20.5887199621558,-4.0996448076923,-8.6655124174236,-2.99164151298579,-8.6655124174236,-2.99164151298579,NaN,NaN,3.30543417480955,-25.1710033894956
2022-06-20 02:30,-50.9269070393498,-22.0042280661681,-5.30351734330486,-4.96540677832249,-4.4746792229337,-4.96540677832249,-4.4746792229337,NaN,NaN,0.436482137581793,14.4341496244363
2022-06-20 03:00,-52.8237294164339,-22.8189000925096,-5.34855690883194,-9.52825659844424,-2.14262020329304,-9.52825659844424,-2.14262020329304,-18.6568345828625,8.36480523378211,4.82763930136867,4.59146233017251
2022-06-20 03:30,-64.7811925038829,-21.5077155412557,-2.42198803418804,-22.2551804235775,-2.83879906671966,-22.2551804235775,-2.83879906671966,-9.14815067143414,13.1336629752686,-28.8304021994937,3.19272109903394
2022-06-20 04:00,-62.6548695888218,-19.9013330269952,-2.06878144586889,-12.7636327084179,-0.942051935667598,-12.7636327084179,-0.942051935667598,NaN,NaN,-10.5082869419546,3.10214968323698
2022-06-20 04:30,-46.4005738516414,-18.6258770309905,-2.97702695868949,-2.89405653673563,-4.9882654953209,-2.89405653673563,-4.9882654953209,NaN,NaN,0.148696570069886,1.71796353822999
2022-06-20 05:00,-7.51939622592317,-18.0799146982649,-3.22601466286802,-10.8870406230855,2.74358172525616,-10.8870406230855,2.74358172525616,-24.1080122882313,17.3230275320345,-4.0795216318407,1.83899255780234
2022-06-20 05:30,35.2114164388956,-15.0101256441141,0.907316623931658,-18.9580325733535,27.65707782907,-18.9580325733535,27.65707782907,-19.8251802857823,30.4577497109183,-11.283902368912,-2.83906319561312
2022-06-20 06:00,98.5057384702692,-10.3349382451172,4.28455072412153,-3.09696331721692,47.9239379612931,-3.09696331721692,47.9239379612931,-16.7772251719277,18.8795133252136,-4.63603805961343,-5.92365826496688
2022-06-20 06:30,174.551425669876,-6.04777288960577,6.35771858974362,-3.90626415933094,106.784023073944,-3.90626415933094,106.784023073944,-20.8961935277892,58.6697975765913,-10.7719454025279,-18.9767912617337
2022-06-20 07:00,222.545846007673,-2.03698148078633,8.0392457336182,14.4729939222628,131.24295661996,14.4729939222628,131.24295661996,-10.082334859223,17.7120321152569,17.0628166093048,-19.9544373708219
2022-06-20 07:30,258.010860822527,2.58862490708107,9.67692022554611,20.9989179654683,150.662723294476,20.9989179654683,150.662723294476,9.54767161577598,72.9392648911454,21.554452567571,-24.8904977612421
2022-06-20 08:00,344.085040609365,6.97647918681079,10.0315717521367,44.9193860342455,181.98551961526,44.9193860342455,181.98551961526,-5.36949143624605,94.6756503161582,47.418834511339,-31.8884448364438
2022-06-20 08:30,453.263685076279,10.5876102104465,12.9212145821463,83.0464711652846,223.111198154724,83.0464711652846,223.111198154724,28.7754510482908,103.697553733817,84.0427567230529,-22.0687918608661
2022-06-20 09:00,510.402303695045,15.2988550041762,16.6685416310541,99.7714766355586,252.776657561709,99.7714766355586,252.776657561709,60.7802559977574,115.360446016501,68.7217138605441,-28.6305616463122
2022-06-20 09:30,561.583482379364,23.1017331953534,19.2756134876543,95.47935888303,212.858884531985,95.47935888303,212.858884531985,33.46538901108,87.6402785638007,75.3429671245536,-47.0744044338507
2022-06-20 10:00,601.569465721867,31.6016451592798,20.2774703584996,118.909915732953,259.551375076388,113.452923195678,320.998360777691,28.7464472504821,86.8604925845743,78.7876177591034,-32.287801183232
2022-06-20 10:30,628.620362451381,39.7264692102742,18.3305050807218,139.764639416634,287.565223711445,133.350585638441,355.644293546421,21.7691146842053,76.7333958179997,54.3809977570914,-38.082958727833
2022-06-20 11:00,646.943788307908,47.3652253471789,21.0195140337132,142.702587251269,299.587325400995,136.1537056977,370.512544328419,40.9372918998964,136.889101299676,-4.05580593767167,-22.8406706259314
2022-06-20 11:30,658.030946789196,55.138715824227,27.4812512108261,131.533233749815,290.855170587912,125.49693416494,359.713112500204,65.5784224660615,141.818741980884,20.7658739143346,-36.8696995494741
2022-06-20 12:00,657.086032507229,61.4050354953861,27.3800885636278,139.716860751275,355.236621165734,133.304999623029,439.336424431758,25.8709243643252,69.3644604753247,0.605396404753738,-64.5476999250701
2022-06-20 12:30,647.989495137163,67.4843326710385,24.5192412891738,118.657470978057,356.125397282131,113.212063590221,440.435612121972,19.6636798631895,90.2428058308756,34.7993649925949,-28.827301482116
2022-06-20 13:00,629.87373844581,69.1765109054711,19.0531683903134,120.790081782315,367.638082605804,115.246805001737,454.673845750904,25.0147034051987,73.5832412549389,87.5969472788578,-7.43675059217453
