TIME,RNET,G0,Gstor,H,LE,H_spec_corr,LE_spec_corr,HA_T,VA_T,VFD_T
2021-08-11 00:00,-42.4424018981229,-19.3519767429834,-5.07020599477682,-17.3596449266763,9.63569606717128,-17.3596449266763,9.63569606717128,2.21043354212595,-0.0108585761621317,-9.48134025959087
2021-08-11 00:30,-40.9440293871403,-21.0572062014771,-5.76113768993352,-4.28129833997073,8.31771585406983,-4.28129833997073,8.31771585406983,NaN,1.02531555954258,4.89142095773585
2021-08-11 01:00,-38.4569416718163,-21.9895769198023,-5.30479592117762,0.696881053194414,-3.10257512159124,0.696881053194414,-3.10257512159124,NaN,-0.039096710706758,6.42204109952042
2021-08-11 01:30,-38.9060988839311,-22.32939360715,-4.90443396486232,-13.8199843363705,9.87262827958324,-13.8199843363705,9.87262827958324,NaN,0.015058186213898,19.1486325850056
2021-08-11 02:00,-41.3559300709683,-21.974475428365,-3.84951024928771,-13.6465416290556,6.37020926352308,-13.6465416290556,6.37020926352308,NaN,-0.198184772262103,-11.8628051092259
2021-08-11 02:30,-38.4033962020019,-22.3569803355593,-3.7456525997151,6.7120156790882,-18.4846408175308,6.7120156790882,-18.4846408175308,NaN,2.39697355055666,13.4216859402116
2021-08-11 03:00,-37.8348118861482,-23.1450398581975,-3.79167265906939,-11.0823228617944,6.32927704428594,-11.0823228617944,6.32927704428594,NaN,-0.0185810245665925,-5.26875406632884
2021-08-11 03:30,-36.7774081790325,-23.7713990058734,-4.09101523741685,-7.2146572736294,3.52141860318044,-7.2146572736294,3.52141860318044,0.496380469716977,-0.0984272386242216,-14.5272291834436
2021-08-11 04:00,-39.0272604361477,-23.296381346425,-3.43887891025642,-11.4923159839191,0.400189864214137,-11.4923159839191,0.400189864214137,1.6666933399241,-9.74617645867982,-23.6392998349289
2021-08-11 04:30,-37.7148778949084,-23.0505602116402,-2.84081301282053,-8.81390325376214,1.96357790306927,-8.81390325376214,1.96357790306927,NaN,-0.238618554300229,-6.19175966547345
2021-08-11 05:00,-40.614028000968,-22.1361971939312,-1.891914354226,-14.4627785755221,6.03456955921608,-14.4627785755221,6.03456955921608,0.843141609224731,-12.1609562359985,-4.16181784519388
2021-08-11 05:30,-17.2471335652605,-20.0757346545433,0.049787219848061,-13.1474879700007,14.6156560742415,-13.1474879700007,14.6156560742415,2.05444411581669,-10.1385178796949,-19.4517774493527
2021-08-11 06:00,25.1032755491921,-16.149197450039,2.48936099240268,1.06577832130502,12.8216447187558,1.06577832130502,12.8216447187558,2.29814169655129,0.842449149558724,-7.98909291656753
2021-08-11 06:30,88.1452308189494,-10.3881539823599,5.82510472222223,-5.17270726279353,44.992684024812,-5.17270726279353,44.992684024812,1.90707199931115,0.0410227051121652,18.3439261529269
2021-08-11 07:00,160.370412912521,-5.03764417243524,7.82469549145294,-7.14316105602794,101.26969021429,-7.14316105602794,101.26969021429,2.54573744356675,-0.0208009644728707,-7.41322992122899
2021-08-11 07:30,242.369219425269,-0.338932788337496,8.49014589268761,-23.8187633357522,192.723467750927,-23.8187633357522,192.723467750927,5.71894285208465,-2.88581542216498,11.0609692693058
2021-08-11 08:00,313.339655643667,4.25435316765563,9.84874700142439,-25.7393155906559,231.889781114025,-25.7393155906559,231.889781114025,8.33325077272709,-5.62457396004201,-2.20350731141737
2021-08-11 08:30,384.678780814514,11.461841019529,10.4094108641976,-18.8674156533065,285.935531898633,-18.8674156533065,285.935531898633,8.17406349049005,-2.22844996282888,-6.77954783448764
2021-08-11 09:00,448.258126218264,15.1498392544761,10.441612345679,-15.404956597175,355.85035808228,-15.404956597175,355.85035808228,8.37758200832796,0.71447947339328,3.67849055258428
2021-08-11 09:30,509.347670880636,21.1714671739975,12.6634194017094,-16.5034985162471,345.465930141528,-16.5034985162471,345.465930141528,7.74714956226848,-0.785284580172338,5.1374722319864
2021-08-11 10:00,558.760362607549,28.5520119497779,16.6674633499525,-18.796271084936,380.341643103345,-17.0732576179103,452.033165303821,6.58468736940918,-2.00139176200907,19.904402957776
2021-08-11 10:30,594.649996636249,36.2953326473196,18.537055857075,-35.5109623920994,402.807984505355,-32.2557493686148,478.734242088063,7.42944741151126,-7.42273348752612,7.32865529111555
2021-08-11 11:00,616.529795339447,47.5798490133491,14.8650204131055,-31.9631106790882,458.615914775283,-29.0331215392614,545.061544991669,5.89706336738824,-10.794336095062,8.12015655084378
2021-08-11 11:30,634.947353649523,54.9822312753187,17.2610226495725,-37.0238502668838,450.801048056262,-33.6299540880768,535.773635020509,48.9938573029369,-11.5256101485278,-2.85451088132165
2021-08-11 12:00,643.448712816537,54.5944007615655,13.4163001139602,-71.0835472496622,534.578984889994,-64.5674724047274,635.343079114448,35.1163453693959,-33.0785260087987,-3.17704176648063
2021-08-11 12:30,635.746931995004,49.1282291972557,7.42715483855637,-76.8974110377848,519.652719591003,-69.8483918893164,617.603325733213,32.4905237866832,-49.5972756935734,-5.31413993265199
2021-08-11 13:00,607.232800869171,46.0559843844837,1.72961140075984,-71.4837362783607,472.650197963591,-64.9309769717746,561.741184382766,36.7141853916347,-54.0341554310551,-6.47689335282325
2021-08-11 13:30,570.078255704849,40.1828496554706,3.15399726020893,-87.0468740671113,538.968920104512,-79.0674756214097,640.560483904274,58.1926153210452,-46.1522758442751,-12.663190010725
2021-08-11 14:00,533.763663417558,34.0764619829365,0.407380227920237,-87.3102702609675,450.854850100134,-79.3067268565596,535.837578342605,76.2707431020869,-46.3059780219471,-13.6812327955908
